Username,Followers,Following,Posts,Ratio,Score,Verdict,Why
04al46,102,5818,1,57.0,99,BOT,follows 57x more than follow it back
08_views,237,18000,0,75.9,99,BOT,follows 76x more than follow it back
1.ajdhtd,1,4245,1,4245.0,99,BOT,follows 4245x more than follow it back
237naveenmodel,7,5960,0,851.4,99,BOT,follows 851x more than follow it back
66v._vl,18,3527,0,195.9,99,BOT,follows 196x more than follow it back
74farmanmalik,14,2321,0,165.8,99,BOT,follows 166x more than follow it back
8xcx7,171,18000,0,105.3,99,BOT,follows 105x more than follow it back
_.the_krishna_tales._,12,1914,4,159.5,99,BOT,follows 160x more than follow it back
_06_kajal_,49,18000,0,367.3,99,BOT,follows 367x more than follow it back
______manak__07x,77,19000,2,246.8,99,BOT,follows 247x more than follow it back
__anamika__singh__564,5,729,1,145.8,99,BOT,follows 146x more than follow it back
__king__off__rewa___,18,5088,3,282.7,99,BOT,follows 283x more than follow it back
__knu__0424,12,9148,0,762.3,99,BOT,follows 762x more than follow it back
__mittivoy__07,39,2603,0,66.7,99,BOT,follows 67x more than follow it back
__ruqsanahh._,0,1668,0,999.0,99,BOT,follows 999x more than follow it back
__simple__girll__1234__,16,9479,1,592.4,99,BOT,follows 592x more than follow it back
_anuragdevil_77,39,14000,0,359.0,99,BOT,follows 359x more than follow it back
_avlok_590_,17,7689,0,452.3,99,BOT,follows 452x more than follow it back
_chodrii_o1,0,9339,0,999.0,99,BOT,follows 999x more than follow it back
_comedy_cilep_1k_,26,2915,3,112.1,99,BOT,follows 112x more than follow it back
_cutie_ranuu__,32,3786,0,118.3,99,BOT,follows 118x more than follow it back
_lill.strrr_8,45,6295,0,139.9,99,BOT,follows 140x more than follow it back
_official_toxic_03,6,3244,0,540.7,99,BOT,follows 541x more than follow it back
_patel_7m_,10,3011,0,301.1,99,BOT,follows 301x more than follow it back
_promopartner_,7,1183,1,169.0,99,BOT,follows 169x more than follow it back
_riz_xtar__26,13,873,0,67.2,99,BOT,follows 67x more than follow it back
_thats_navin08,33,5540,0,167.9,99,BOT,follows 168x more than follow it back
_yashika_145,107,20000,0,186.9,99,BOT,follows 187x more than follow it back
a06929113,19,3715,0,195.5,99,BOT,follows 196x more than follow it back
aadi70711,7,5224,0,746.3,99,BOT,follows 746x more than follow it back
aaditya_______83,14,5014,1,358.1,99,BOT,follows 358x more than follow it back
aalukhaoge43,10,3807,0,380.7,99,BOT,follows 381x more than follow it back
aanand0002025,23,9542,0,414.9,99,BOT,follows 415x more than follow it back
aanmoldahiya427,12,1809,1,150.8,99,BOT,follows 151x more than follow it back
aanukhan___45,41,7332,0,178.8,99,BOT,follows 179x more than follow it back
